Script Name,Character Names
Absolute Power.txt,"REPORTER #1, WALTER SULLIVAN, COP, RICHMOND, WELL-DRESSED MAN, BURTON, KATE, LAURA SIMON, LUTHER, WOMAN, CHAUFFEUR, WALTER SULLIVAN, KATE, GUARD, VALERIE, GIRL STUDENT, RED, CHRISTY, SUPER, COP, AR, SALESMAN, SETH, GLORIA RUSSELL, MAN, COLLIN, LUTHER, KATE, WAITER, BARTENDER, WILLIAM GOLDMAN"
Abyss_ The.txt,"SONNY, NAVIGATOR, COFFEY, LINDSEY, TYLER, REPORTER, HELMSMAN, MONK, MCBRIDE, BUD, GUY, BERG, LINSEY, CAPTAIN, KIRKHILL, FINLER, SCHOENICK, PILOT, DEMARCO, FRANK, HIPPY, BARNES, WILHITE, JAMMER, CATFISH, BENDIX"
Ace Ventura_ Pet Detective.txt,
Ad Astra.txt,"ROY MCBRIDE, LAWRENCE BLUNT, H. CLIFFORD MCBRIDE, WILLY LEVANT, DR. PEDROSA, SHUTTLE PILOT, NORWEGIAN ASTRONAUT, FRANKLIN YOSHIDA, ADJUTANT GENERAL VOGEL, CHERYL, LEANNE MCBRIDE, LESLIE CORTEZ, DR. PEDROSA, KATHRYN COLLINS, DONALD SCOBEE, ALAN TANNER, FRANCESCA DESANCTIS, MALE FLIGHT ATTENDANT, MARS OFFICER, COLONEL EPINGER, SERGEANT ROMANO, ADJUTANT GENERAL AMELIA VOGEL, SAMIR MALIK, CLIFFORD MCBRIDE, BRIGADIER GENERAL FALLON, MED TECH #1, COLONEL LIPSET, LIEUTENANT GENERAL SHARPE, YOUNG FRANCESCA, SAL"
Adaptation.txt,"DARWIN, VALERIE, DRIVER, MOTHER, MIKE OWEN, VINSON, STEWARDESS, TEENAGED LAROCHE, LAROCHE, KAUFMAN, WOMAN, RADIO VOICE, DONALD, KAUFMAN, DONALD, THERAPIST, SAILOR, SURVEYOR, VALERIE, POLICE OFFICER, MARGARET, BOY, VALERIE, MCKEE, DONALD, LAROCHE, HUSBAND, JERRY, CUSTOMER #1, DONALD, KAUFMAN, BRITISH NARRATOR, ORLEAN, JERRY, REGISTRAR, LAROCHE, MOTHER, GUY ON BENCH, SENSUOUS FEMALE NARRATOR, BOTANIST, ORLEAN, CUSTOMER #2, ALICE, TONY, LERNER, RUSSELL, DONALD, UNCLE JIM, CUSTOMER #3, ORLEAN, MOTES, RANDY, BAXLEY"
Addams Family_ The.txt,"GRANNY (O.S.), PERSONNEL OFFICER, MARGARET, FESTER, TULLY, ABIGAIL (O.S.), GOMEZ (O.S.), JUDGE WOMACK, MORTICIA, ALEX TREBEK, PUGSLEY (O.S.), WEDNESDAY, COUSIN IT, TULLY -, TULLY, GRANNY, GERALDO, ABIGAIL -, GOMEZ, FESTER (O.S.), PUGSLEY"
Adjustment Bureau_ The.txt,"CHARLIE (O.S.), BUS DRIVER, DAVID--, (TOHARRY), 40 YEAR-OLD WOMAN, PUNDIT #2, RICHARD SON, RICHARDSON (INTO PHONE), COURT REGISTRAR, CNBC ANCHOR (V.0.), NCCRADY, MCCRADY (O.S.), COURT CLERK, DONALDS, WAITER, TH2;.>�HAT, RMAN, DONALDSON, HARDY, ELLST, BARTENDER, YOU -, LOCAL NEWS REPORTER (ON TV):, THOMPSON AIDE #2 (ABC ID), RICHARDS6N, SENIOR AIDE, LAUREN, ""POLICE OFFICER"", PUNDIT #1, THOM BON, CHARLIE, NO--, 65 YEAR-OLD WOMAN, CHARLIE (TEL. V.O.), EL ;E, ELISE, CAMPAIGN AIDE, BURDENSKY (PARTIALLY AUDIBLE), ASSISTANT MANAGER, BLUE-BLAZER, SECRETARY #1, HARRY, DAVID (CONT'D), 'DAM, RICHARDSON (O.S.), THOMPSON (CONT'D), CHEF, DAVID', DAVID-, EL SE, THOMPSON'S AIDE, BURDENSKY, DAVID, DA ID, TAXI DRIVER (CONT'D), AIDE, D1 ID, TAXI DRIVER, THOMPSON, RI.CEARDSON, DAVID (TEL. V.O.), ELISE LAUREN, CHARLIE (TEL. V.0), RICHARDSON (CONT'D), CNBC ANCHOR, VOICE. (0. S . ), -CHARLIE, CHARLIE (CONT'D), DAVID (,.CONT'D), BLUE BLAZER, AVID, T-4 MPSON, BAVA), DIANE SAWYER, 'DAVID, DW-ID, MCC- .DY, CHARLIE (PHONE V.O.), SURGEON'S FACE, T HOMPSON'S AIDE #2, ELI, DAVID AND ELISE, POLICE OFFICER, HOTEL SECURITY, HARRY (CONT'D), ADRIAN, AIDE (O.S.), DONALDSON'S AIDE, VOICE (OS., DRIVER OF SUBURBAN, WHAT THE-, SECRETARY(O.S.), SERGEANT, AIDE TO-HE'""CHAIRMAN, RICHARDSON, WOMAN, 'DONALDSON, DAVID `', MCCRADY, RICHARDSON AIDE, 'RAYNOR--, ELISE. ,, HARRY-, INT. RICHARDSON'S OFFICE -- DOWNTOWN -- DAY, NEW YORKER, THE CHAIRMAN, DAVS,D, AIDE TO THE CHAIRRMAN, RIC:HARDSON, DIANE SAWYER (ON TV), CONSCIOUS), DRIVER, SURGEON, BRIAN WILLIAMS"
Adventures of Buckaroo Banzai Across the Eighth Dimension_ The.txt,"JOHN WHORFIN, BRAINY KID, JOHN PARKER, DOCTOR LIZARDO, PRESIDENT WIDMARK, JOHN O'CONNER, ARTIE DUNCAN, PENNY PRIDDY, BUCKAROO BANZAI, PERFECT TOMMY, STAR SURGEON, JOHN GANT, JOHN GOMEZ, JOHN EMDALL, NARRATOR, RAWHIDE, DR. ZWIBEL, MRS. JOHNSON, CASPER, NURSE, PINKY CARRUTHERS, GENERAL CATBURD, SCOOTER LINDLEY, SENATOR CUNNINGHAM, NATIONAL SECURITY ADVISOR, CASPER LINDLEY, PROF. HIKITA, HIGHWAY PATROLMAN, SAM, RINGER FOR PENNY, TV ANCHORWOMAN, RED ARACHTOIDS, SECRETARY OF DEFENSE, GUARD, 1ST HUNTER, 2ND HUNTER, VOICE, HELICOPTER NEWSMAN, BLACK ARACHTOID COMMANDER, BLACK ARACHTOID OFFICER, JEWISH PHYSICIAN, NATIONAL SECURITY MAN, RADAR SHEILD ONE, BLACK ARACHTOID WING COMMANDER, DOCTOR BUCKAROO BANZAI, DR. LIZARDO, JOHN BIGTOOTE, PROF. HIKITA'S VOICE, PERFECT TOMMY ON TV, SECRETARY OF DEFENSE ON TV, PRESIDENT WIDMARK ON TV, WHORFIN'S VOICE, JOHN BIGBOOT, BLACK ARACHTOID CHATTER, LIZARDO'S ROOM, BUCKAROO'S POV, LIZARDO'S VOICE, FROM THE TIP OF BUCKAROO'S NOSE TO THE TIP OF PENNY'S, ALIENS, GIANT RED ARACHTOIDS WEARING SUITS AND TIES, HOLDING COFFEE, BRAINY KID (BILLY), PERFECT TOMMY'S VOICE, BLACK ARACHTOID RADAR"
Affliction.txt,"MRS. GORDON, WICKHAM, LILLIAN, CHICK, JACK, JIMMY, LARIVIERE, ALMA, B.U., REV. DOUGHTY, JILL, FRANKIE, LACOY, HORNER, ROLFE, SALLY, LUGENE, LONG-HAIRED LOCAL, POP, ELAINE (O.S.), BROWN, MEL GORDON, MARGIE, TWOMBLEY, WADE, ROLFE (O.S.), HETTIE, NICK"
After School Special.txt,"DEACON (V.O.), DAVE, PLANTAIN, INDIAN BOY, FRED (V.O.) (CONT'D), JAKE (CONT'D), MIKE (CONT'D), FRED!, BIOLOGY TEACHER (CONT'D), MAX (CONT'D), RACHAEL, DEACON (CONT'D; V.O.) (CONT'D), BOUNCER, VIC (O.S.), HAIRDRESSER, MATT (O.S.), AMAZING GIRL, COOP (CONT'D), NAOMI (CONT'D), J.T., DMV TESTER, RECEPTIONIST, COOP (O.S.), BOUNCER (CONT'D), GREITZER, MR. GREITZER., VIDEO DUPE GUY, HOT GIRL, FRED, ASHLEY, GREITZER'S WIFE, DEACON AND FRED, COOP, RUSS, MAX, CRACK WHORE, MATT, NAOMI, INDIAN MOTHER (O.S.), NURSE, MARK, MRS. LEWIS                       MR. LEWIS            *, FRED (V.O.), GUY 1, MR. LEWIS (CONT'D), MRS. LEWIS (O.S.), KELLY, CHEERLEADER (V.O.), FRED   (CONT'D), GUY 2, COOP'S DAD, AMERICAN FLAG STRIPPER (CONT'D), MRS. LEWIS, MRS. LEWIS (CONT'D), FRED                             MATT, JAKE (O.S.), PLANTAIN (O.S.), WENDY, MATT (CONT'D), MATT AND FRED, RACHAEL (O.S.), JAKE, MATH TEAM CAPTAIN (V.O.), HAIRDRESSER (CONT'D), MR. LEWIS, BIOLOGY TEACHER (O.S.), ASHLEY (CONT'D), ASHLEY (V.O.), ROGER, BOUNCER (O.S.), DEACON (V.O.) (CONT'D), DORKY FRESHMAN, DEACON, MIKE, RACHAEL (CONT'D), FRED (CONT'D), DEACON (O.S.), COCKTAIL WAITRESS, DEACON (CONT'D; V.O.), DEACON'S PARENTS, ASHLEY (O.S.), DEACON AND MATT, DARLA, VIC (CONT'D), RUSS (CONT'D), KELLY AND WENDY, BIOLOGY TEACHER, FRED (O.S.), VIC, AMERICAN FLAG STRIPPER"
After_Life.txt,"DIANE, FATHER GRAHAM, VINCENT (OFFICER), NEAL, ASSISTANT (O.C.), OFFICER, WAITER, SECURITY GUARD, MAN'S VOICE, VINCENT (O.C.), JACK, PAUL (O.S.), ASSISTANT, ACNE KID, OLD WOMAN (O.S.), OLD WOMAN, PRINCIPAL, BEATRICE, ELIOT (O.C.), TEACHER, CASHIER, ELIOT, FATHER GRAHAM (O.C.), OLD GUY, ANNA, GIRL, PAUL, TALL KID (O.C.), POLICE OFFICER, GIRL'S VOICE (O.S.), TOM, PAUL (O.C.), MRS. HUTTON, TALL KID, ANNA (O.C.), STOCKY TEACHER, JEFF, MRS. AYRES, VINCENT, PREPPY GUY"
Agnes of God.txt,"REPORTER (V.O.), HOUSEKEEPER, ELDERLY NUN, ROGER (V.O.), MOTHER MIRIAM, MAMA, MONSIGNOR, LEVEAU, LARRY, SISTER, LARRY (V.O.), EVE, HELEN, ???, MAN, MOTHER    MIRIAM, SISTER ANNE, LYON, SECRETARY (V.O.), FATHER MARTINEAU, MARTHA, AGNES, AGNES (V.O.), ANNOUNCER (V.O.), MOTHER SUPERIOR, REPORTER, MARTHA (V.O.), OFFICE GIRL, PARAMEDIC"
Air Force One.txt,"CNN REPORTER, KORSHUNOV, GENERAL NORTPNOOD, FIGHTER PILOT #1, BAZ YLEV, FIGHTER PILOT #2, COL. CMLTON, COL. AXELROD, MARSHALL, KC-135 PILOT, KC-LO PILOT, SECRETARY, V.P. CHANDLER, MARSILALL, RAMSTEIN A.B. CONTROLLER, AIDE, BAZYUV, RANSTEIN A.B. CONTROLLER, SHEPHERD, YES SIR.      CHANDLER, LT. COL. INGRAHAMS, V.P. CHANDLER, SHEPHERD, NEVSKY, SECRET SERVICE AGENT, RAMSTEIN A.B. CONTROLLLR, BAZYLEV, KC-LO PILOT, VOICE, MITCHEL*L, ARMY RANGER #1, REPORTER, GENERAL NORTINOOD, FIGHTER PILOT 11, GUARD, MITCHELL, MAJOR CALOWELL, KORSHUNQV, COL. CAELTON, KORSFL3NOV, CNN REPORTER, NAVY SQUADRON LEADER, ARMY RANGER, SERGE, KC-L0 PILOT, KORSHUNOV, LT. CCL. INGRAHAMS, GENERAL GREELY, KC-1O PILOT, RAMSTEIN A.B. CONTROLLER, SECRET SERVICE AGENT, COT. CARLTON, WALTERS, VOICE, COT. CAALTON, A.F. SPECIALIST #2, MAJOR CALDWELL, LARRY KING, MARSHALL, TRANSLATOR, KORSHUNOV, RUSSIAN AIR TRAFFIC, TRANSLATOR, KC-1O PILOT, STRIKE FORCE LEADER, CHIEF MECHANIC, MITCHELL, MAJOR CALDWELL, GENERAL NORTIWOOD, KORSKUNOV!, ZEDECK, KC-L0 PILOT, STEWARD, MARSHALR', KC-135 PILOT, DEAN, GENERAL NORTPNOOD, MARSHALL, ROSE, MAJOR CAWWELL, COL. CARLTON, ROSE! ALICE!, ARMY RANGER #2, COL. CARLTON, PETROV, ROSE, TOWER, KORSHUNOV, COT. AXELROD, VOICE, MAJOR CAL DWELL, MARSHALL, GIBBS, VLAD, PETROV, COL. CARLTON, WILLIS, STRIKE FORCE LEADER, COL. CARLTON, FIGHTER PILOT #1, VOICE, TECHNICAL OFFICER, KC-LO PILOT, COL. AXELROD, FIGHTER PILOT #1, GIBBS, DOHERTY, ALICE, KORSHUNOV, BAZYLEV, RAMSTEIN A.B. CONTROLLER, MIS PILOT, NEVSKY, KC-LO PILOT, SWITCHBOARD, GENERAL NORTHWOOD, ALICE, LARRY KING, VIAD, COT. AXELROD, MIG PILOT, REPORTER, LEE, AIR FORCE SPECIALIST, MIG LEADER, MARSHALL, IRAQI SOLDIER, AIR FORCE COLONEL, CERALLOS, TOWER"
Air.txt,"DAVID FALK, SONNY, TINKER HATFIELD, SONNY, SONNY, STRASSER, BILL, STRASSER, DELORIS JORDAN, JORDAN, JOE DEAN, DAVID FALK, JOHN O'NEIL, JAMES JORDAN, PHIL'S SECRETARY, RICHARD, JOHN O'NEIL, GROCERY STORE EMPLOYEE, RICHARD, POP HERRING, SECRETARY, STU INMAN, GROCERY STORE EMPLOYEE, PHIL KNIGHT, DELORIS JORDAN, KATHE DASSLER, LARRY BIRD, DELORIS JORDAN, PHIL KNIGHT, ARTHUR ASHE, MAGIC JOHNSON, STRASSER, POP HERRING, TINKER HATFIELD, MICHAEL JORDAN, RICH, POP, RENTAL CAR EMPLOYEE, FLIGHT ATTENDANT, STRASSER, OPERATOR, ISAIH THOMAS, MICHAEL JORDAN, PETER MOORE, ISAIH THOMAS, WAITER, RICHARD, PHIL KNIGHT, JOE DEAN, TINKER HATFIELD, POP, TIM, HORST DASSLER, JOHN FISHER, PETER MOORE, JOHN FISHER"
Airplane 2_ The Sequel.txt,
Airplane.txt,"ELAINE, TURNANSKY, CHECK-IN LADY, ELDERLY WOMAN, JACK KILPATRICK, BLACK DUDE, RANDY/RUMACK, MRS. HAMMEN, JACK, GOBACKEN SIDONNA, JOEY, LISA, BLACK DUDE #2, BUSINESSMAN, HORSE, DISPATCHER, KRISHNA, MILTON, MR. HAMMEN, BERNICE, FRED, MRS. ELDERLY, MRS. OVEUR, REPORTER #2, MRS. SCHIFF, OVEUR, ZEALOT #2, MRS. KRAMER, BASTA, KRAMER, SPINSTER, MRS. YAFFE, SHIRLEY, HARI KRISHNA #1, DR. ROMACK, CAREY, GIRL, REPORTER #3, SISTER ANGELINA, DR. RUMACK, MRS. DAVIS, NEWSCASTER, BLACK DUDE #1, ZEALOT #3, SECURITY LADY, RANDY, AIRPORT STEWARD, GUNDERSON, STRIKER, MURDOCK, HINSHAW"
Aladdin.txt,"GENIE:, ALADDIN."
Ali.txt,"NIGHT, JUDGE INGRAHAM, CHAUNCEY ESKRIDGE, CASSIUS, SONJI, LISTON, ALI, VERONICA, DR. PACHECO, SAM COOKE, MOBUTU'S MILITARY AIDE, ELIJAH MUHAMMAD'S VOICE, LIPSYTE, LSG BOARD MEMBER, MARLIN THOMAS, DICK SADLER, QUARRY, MARTIN LUTHER KING, JR., GORDON DAVIDSON, IRENE, BRADLEY, JOSEPH 13X, BETTY SHABAZZ, SONNY LISTON, FRAZIER, ANGELO, BUNDINI, PACHECO, MOBUTU, TERRELL, FOREMAN, BELINDA, LT. JEROME CLARIDGE, JOE SMILEY, HOWARD COSELL, RUDY, ODESSA CLAY, CLAYTON, REFEREE, THE PILOT, JIMMY CANNON, HERBERT, MALCOLM X, THE DOCTOR, LANDLADY, HOLMES, CASSIUS CLAY, SR., JIMI HENDRIX, ZACK CLAYTON"
Alien 3.txt,"ANTHONY, JOHN, BALD TRIBUNAL MEMBER, RIPLEY, MATTIAS, WHITE-HAIRED MAN, WORKER, KYLE, A WOMAN, SECOND WHISPERING MONK, THIRD WHISPERING MONK, TRIBUNAL MEMBER, BROTHER JOHN, MONK IN AUDIENCE, ABBOT, OTHER MONKS, JOHN, ANTHONY, BALD TRIBUNAL MONK, KYLE, SECOND MONK, HYSTERICAL MONK, THIRD MONK, A CORPULENT MONK - BROTHER PHILIP, JOHN, WOMAN, ABBOT, RIPLEY, BROTHER KYLE, PHILIP, ANOTHER TRIBUNAL MONK, FIRST MONK, THE MONKS"
Alien Nation.txt,"NATUZZI, FEDORCHUK, QUINT, JETSON (V.O.), OFFENDER, PILOT, KID, HARCOURT, ATTENDANT, HUMAN DEALER, DRIVER, HUMAN COP, WILTEY, CORONER'S TECH, SECRETARY, TUGGLE (O.S.), PORTER, DETECTIVE, CAL-TECH PROFESSOR, ALIEN VOICE, OLD MAN, WATSON, MAYOR (O.S.), FRESNO HOUSEWIFE, FEMALE COP, WARREN, STRADER, JOSHUA, JETSON (O.S.), CAPTAIN, MAYOR, MAFFET, CRAIS, TUGGLE, ORTIZ, OPERATOR, GOLDRUP, KIPLING, CASSANDRA, SYKES (V.O.), HARCOURT, SYKES, MINKLER, WINTER, WARNER, JETSON, KRISTIN, ALTEREZ, O'NEAL, ALIEN DEALER, CASSANDRA (O.S.)"
Alien vs_ Predator.txt,"YORK, DILLER, YORK, CASSIE, THOMAS, ACKLAND, HIROKO, BEAUVAIS, BROKEN TUSK, GREASE MONKEY, DRISCOLL, MATT, KAMEN, GUTTIEREZ, REVNA, PREDATOR, URIOSTE, THOMAS, URIOSTE, DE VRIES, PARSONS, REDHEADED GIRL, PARSONS, MINH, PREDATOR, HIROKO, MINH, KAMEN, DILLER, KAMEN, REVNA, DE VRIES, BEAUVAIS, GUTTIEREZ, GIRL"
Alien.txt,"FAUST, MARTIN ROBY, DELL BROUSSARD, SANDY MELKONIS, HUNTER, ROBY, CHAZ STANDARD, JAY FAUST, BROUSSARD, MELKONIS, STANDARD"
Alien_ Resurrection.txt,
Aliens.txt,"ANNE, DIETRICH, VOICE, MAN, JORDEN, INSURANCE INVESTIGATOR, NEWT, MED-TECH, PRIVATE DRAKE                   'SMART-GUN' OPERATOR, LEADER, APONE, GORMAN, HUDSON, SIMPSON., BON, HICKS, FRONT, REBECCA JORDEN, DOCTOR, SPUNKMEYER, ECA REP, FEMALE VOICE, BURKE, FROST, VOICE FROM VIDEO, PFC SPUNKMEYER                   DROP-SHIP CREW CHIEF, RIPLEY, INSURANCE MAN, SIMPSON, WOMAN, BISHOP, WIERZBOWSKI, DRAKE, VASQUEZ, VAN LEUWEN, LYDECKER, ELEVATOR PASSENGER, FERRO, TIM, PRIVATE CROWE                                TROOPER, CROWE, PRIVATE WIERZBOWSKI                          TROOPER, CORPORAL HICKS                         B-TEAM LEADER"
